25000.0,25000.0,18.49,60.0,27.56,2,8606.56,722.0,11.0,15210.0,3.0,5.0,0,1,0,0
19750.0,19750.0,17.27,60.0,13.39,2,6737.5,712.0,14.0,19070.0,3.0,4.0,0,1,0,0
2100.0,2100.0,14.33,36.0,3.5,3,1000.0,692.0,13.0,893.0,1.0,0.5,0,0,1,0
28000.0,28000.0,16.29,36.0,19.62,2,7083.33,712.0,12.0,38194.0,1.0,10.0,1,0,0,0
24250.0,17431.82,12.23,60.0,23.79,2,5833.33,732.0,6.0,31061.0,2.0,10.0,1,0,0,0
16000.0,16000.0,22.47,60.0,11.27,1,4791.67,667.0,5.0,8474.0,0.0,2.0,1,0,0,0
6400.0,6400.0,7.51,36.0,9.58,1,6400.0,737.0,11.0,12306.0,1.0,0.5,0,0,1,0
9000.0,9000.0,10.16,36.0,13.76,1,5166.67,712.0,10.0,6490.0,0.0,10.0,0,1,0,0
13000.0,12975.0,9.99,60.0,8.77,2,10500.0,794.5,8.0,6810.0,0.0,10.0,0,0,0,0
10000.0,10000.0,14.22,36.0,12.24,1,2541.67,682.0,4.0,13667.0,0.0,8.0,0,1,0,0
7350.0,7350.0,10.74,60.0,29.82,2,5000.0,747.0,15.0,15093.0,1.0,4.0,0,1,0,0
17000.0,16975.0,11.99,60.0,12.69,2,4666.67,747.0,17.0,11677.0,2.0,10.0,0,1,0,0
18825.0,18825.0,21.0,60.0,19.22,1,4583.33,682.0,8.0,17292.0,2.0,10.0,0,1,0,0
4200.0,4200.0,17.27,36.0,14.78,1,2083.33,662.0,7.0,3690.0,0.0,0.5,1,0,0,0
5000.0,1750.04,11.54,36.0,10.36,1,3416.67,672.0,17.0,15301.0,3.0,1.0,0,0,0,1
6625.0,6625.0,17.77,36.0,33.43,1,2916.67,667.0,13.0,11369.0,0.0,1.0,0,1,0,0
15000.0,15000.0,12.12,36.0,19.16,1,5000.0,707.0,18.0,13830.0,0.0,10.0,1,0,0,0
29175.0,29175.0,21.0,60.0,8.83,1,11833.325,697.0,9.0,15308.0,2.0,4.0,1,0,0,0
6000.0,6000.0,11.89,36.0,9.77,1,4166.67,697.0,13.0,15377.0,1.0,10.0,0,1,0,0
10000.0,10000.0,13.47,36.0,5.59,1,4583.0,692.0,6.0,2432.0,1.0,4.0,0,0,1,0
22000.0,22000.0,14.65,60.0,29.26,2,3912.0,707.0,8.0,21633.0,0.0,10.0,0,1,0,0
18000.0,18000.0,24.89,60.0,14.88,1,4000.0,667.0,10.0,7377.0,3.0,8.0,0,0,1,0
12000.0,11875.0,8.9,36.0,12.06,1,5000.0,717.0,11.0,14717.0,0.0,4.0,0,1,0,0
24000.0,24000.0,7.62,36.0,14.22,2,6833.33,762.0,8.0,11058.0,0.0,10.0,0,0,0,0
5000.0,5000.0,12.12,36.0,11.08,1,1833.33,687.0,7.0,5408.0,0.0,10.0,1,0,0,0
6500.0,5329.76,11.89,36.0,8.57,1,1750.0,722.0,8.0,9317.0,1.0,6.0,0,1,0,0
16000.0,15825.0,16.82,36.0,20.3,2,6250.0,667.0,18.0,30772.0,3.0,1.0,1,0,0,0
7300.0,7300.0,7.88,36.0,11.78,1,3090.5,737.0,5.0,13459.0,0.0,7.0,1,0,0,0
25000.0,20850.0,15.58,60.0,0.6,2,5666.67,787.0,2.0,0.0,3.0,10.0,0,0,1,0
19400.0,19400.0,23.28,60.0,9.3,2,6000.0,662.0,5.0,28921.0,0.0,10.0,1,0,0,0
11625.0,11625.0,15.8,36.0,31.12,1,2860.0,682.0,14.0,8374.0,2.0,7.0,0,1,0,0
10000.0,10000.0,12.12,36.0,12.46,2,4375.0,697.0,7.0,11070.0,0.0,5.0,0,1,0,0
24000.0,24000.0,6.54,36.0,5.62,2,9583.33,757.0,9.0,22725.0,2.0,3.0,0,1,0,0
3000.0,3000.0,11.14,36.0,1.7,2,7750.0,687.0,7.0,874.0,0.0,10.0,0,0,1,0
19000.0,19000.0,11.71,60.0,13.79,2,4791.67,732.0,9.0,16348.0,0.0,5.0,1,0,0,0
2500.0,2500.0,15.31,36.0,22.81,1,2530.0,672.0,7.0,5276.0,3.0,0.5,0,0,0,0
12000.0,12000.0,12.12,36.0,14.66,2,5000.0,712.0,11.0,13235.0,2.0,2.0,0,1,0,0
17350.0,7019.25,13.55,36.0,18.52,3,3666.67,677.0,8.0,18966.0,2.0,6.0,0,1,0,0
24000.0,14860.05,13.61,60.0,10.77,2,7750.0,717.0,11.0,2594.0,2.0,5.0,0,1,0,0
21000.0,21000.0,14.27,60.0,11.27,2,5333.33,712.0,8.0,19431.0,0.0,8.0,0,1,0,0
12000.0,12000.0,13.11,36.0,6.1,2,4833.33,667.0,9.0,12025.0,0.0,9.0,1,0,0,0
5000.0,0.0,8.63,36.0,1.92,1,2600.0,732.0,13.0,814.0,0.0,8.0,0,1,0,0
5000.0,5000.0,9.32,36.0,3.89,2,2083.33,777.0,4.0,3901.0,2.0,4.0,0,0,0,0
20000.0,18126.99,11.99,60.0,20.24,2,4500.0,742.0,15.0,26424.0,0.0,10.0,0,1,0,0
12000.0,12000.0,16.89,60.0,15.24,2,7500.0,677.0,14.0,28589.0,2.0,3.0,0,0,1,0
8000.0,8000.0,17.27,36.0,27.88,1,2833.33,672.0,10.0,9926.0,3.0,6.0,0,1,0,0
1900.0,1900.0,7.29,36.0,23.05,1,2208.33,727.0,11.0,8508.0,1.0,3.0,0,0,0,1
23300.0,23275.0,23.83,60.0,33.56,2,11833.325,662.0,15.0,39260.25,1.0,9.0,0,1,0,0
